Ente;Misura;Tipo;Annualit… precedenti;2007;2008;2009;2010;2011;2012;2013
Provincia di AREZZO;(PSR111) Formazione professionale degli addetti al settore agricolo e forestale;PROGRAMMATO;0;0;0;0;0;0;0;0
Provincia di AREZZO;(PSR112) Insediamento giovani agricoltori;PROGRAMMATO;0;1305411;774589;2400000;120000;80000;0;0
Provincia di AREZZO;(PSR112) Insediamento giovani agricoltori;RICHIESTO;0;0;6880000;6120000;800000;4520000;3760000;0
Provincia di AREZZO;(PSR112) Insediamento giovani agricoltori;ASSEGNATO PER COMPETENZA;0;0;2560000;1840000;80000;0;1864710,37;0
Provincia di AREZZO;(PSR112) Insediamento giovani agricoltori;ASSEGNATO PER ANNO SOLARE;0;0;0;2560000;1840000;80000;1864710,37;0
Provincia di AREZZO;(PSR112) Insediamento giovani agricoltori;DOMANDE PAGAMENTO ANTICIPO;0;0;2400000;1540000;0;0;80000;0
Provincia di AREZZO;(PSR112) Insediamento giovani agricoltori;LIQUIDATO PER COMPETENZA;0;0;2360000;1540000;0;0;840000;0
Provincia di AREZZO;(PSR112) Insediamento giovani agricoltori;LIQUIDATO PER ANNO SOLARE;0;0;0;2280000;1340000;280000;840000;0
Provincia di AREZZO;(PSR112) Insediamento giovani agricoltori;AUTORIZZATO PER COMPETENZA;0;0;2360000;1540000;0;0;840000;0
Provincia di AREZZO;(PSR112) Insediamento giovani agricoltori;AUTORIZZATO PER ANNO SOLARE;0;0;0;2200000;1200000;500000;840000;0
Provincia di AREZZO;(PSR112) Insediamento giovani agricoltori;PAGATO PER COMPETENZA;0;0;2360000;1540000;0;0;540000;0
Provincia di AREZZO;(PSR112) Insediamento giovani agricoltori;PAGATO PER ANNO SOLARE;0;0;0;2080000;1280000;540000;540000;0
Provincia di AREZZO;(PSR113) Prepensionamento degli imprenditori e dei lavoratori agricoli;PROGRAMMATO;0;0;0;64625;64625;94625;0;0
Provincia di AREZZO;(PSR113) Prepensionamento degli imprenditori e dei lavoratori agricoli;RICHIESTO;0;0;0;0;18000;137458;56405,46;0
Provincia di AREZZO;(PSR113) Prepensionamento degli imprenditori e dei lavoratori agricoli;ASSEGNATO PER COMPETENZA;0;0;0;0;18000;0;0;0
Provincia di AREZZO;(PSR113) Prepensionamento degli imprenditori e dei lavoratori agricoli;ASSEGNATO PER ANNO SOLARE;0;0;0;0;0;0;18000;0
Provincia di AREZZO;(PSR113) Prepensionamento degli imprenditori e dei lavoratori agricoli;IN ISTRUTTORIA;0;0;0;0;18000;0;0;0
Provincia di AREZZO;(PSR113) Prepensionamento degli imprenditori e dei lavoratori agricoli;LIQUIDATO PER COMPETENZA;0;0;0;0;0;0;36000;0
Provincia di AREZZO;(PSR113) Prepensionamento degli imprenditori e dei lavoratori agricoli;LIQUIDATO PER ANNO SOLARE;0;0;0;0;0;0;36000;0
Provincia di AREZZO;(PSR113) Prepensionamento degli imprenditori e dei lavoratori agricoli;AUTORIZZATO PER COMPETENZA;0;0;0;0;0;0;36000;0
Provincia di AREZZO;(PSR113) Prepensionamento degli imprenditori e dei lavoratori agricoli;AUTORIZZATO PER ANNO SOLARE;0;0;0;0;0;0;36000;0
Provincia di AREZZO;(PSR113) Prepensionamento degli imprenditori e dei lavoratori agricoli;PAGATO PER COMPETENZA;0;0;0;0;0;0;36000;0
Provincia di AREZZO;(PSR113) Prepensionamento degli imprenditori e dei lavoratori agricoli;PAGATO PER ANNO SOLARE;0;0;0;0;0;0;36000;0
Provincia di AREZZO;(PSR4) PSR - Misura 4 (d) - Prepensionamento;PROGRAMMATO;0;43978;43896;43696;43696;36705;0;0
Provincia di AREZZO;(PSR4) PSR - Misura 4 (d) - Prepensionamento;LIQUIDATO PER COMPETENZA;0;6171,7;5995,16;5850,99;5539,77;0;10841,64;0
Provincia di AREZZO;(PSR4) PSR - Misura 4 (d) - Prepensionamento;LIQUIDATO PER ANNO SOLARE;0;0;6171,7;5995,16;11390,76;0;10841,64;0
Provincia di AREZZO;(PSR4) PSR - Misura 4 (d) - Prepensionamento;AUTORIZZATO PER COMPETENZA;0;6171,7;5995,16;5850,99;5539,77;0;5492,06;0
Provincia di AREZZO;(PSR4) PSR - Misura 4 (d) - Prepensionamento;AUTORIZZATO PER ANNO SOLARE;0;0;6171,7;5995,16;11390,76;0;5492,06;0
Provincia di AREZZO;(PSR4) PSR - Misura 4 (d) - Prepensionamento;PAGATO PER COMPETENZA;6281,23;0;5995,16;5851;5539,77;0;5492,07;0
Provincia di AREZZO;(PSR4) PSR - Misura 4 (d) - Prepensionamento;PAGATO PER ANNO SOLARE;0;6281,23;0;5995,16;11390,77;0;5492,07;0
Provincia di AREZZO;(PSR2079) Reg.(CE)2079/92 Prepensionamento;PROGRAMMATO;0;0;0;0;0;0;0;0
Provincia di AREZZO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;RICHIESTO;0;0;815850;848450;1011420;985590;0;0
Provincia di AREZZO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;ASSEGNATO PER COMPETENZA;0;0;771710;849200;0;901170;960950;0
Provincia di AREZZO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;ASSEGNATO PER ANNO SOLARE;0;0;0;771710;849200;901170;960950;0
Provincia di AREZZO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;DOMANDE PAGAMENTO SALDO;0;0;764210;839450;13500;750;1500;0
Provincia di AREZZO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;DOMANDE REVOCATE;0;0;0;1500;0;0;0;0
Provincia di AREZZO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;IN ISTRUTTORIA;0;0;0;0;0;750;0;0
Provincia di AREZZO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;LIQUIDATO PER COMPETENZA;0;0;764210;837950;895170;0;888260;0
Provincia di AREZZO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;LIQUIDATO PER ANNO SOLARE;0;0;0;669290;889480;935560;891260;0
Provincia di AREZZO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;AUTORIZZATO PER COMPETENZA;0;0;764210;837950;895170;0;883870;0
Provincia di AREZZO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;AUTORIZZATO PER ANNO SOLARE;0;0;0;664790;888730;937810;889870;0
